,SensorID,Target PPM,Resistance,Temperature,RelativeHumidity,lowInterval,highInterval,Ratio
0,0.0,0.0,30.009404130518337,0.7956194690265487,6.227831858407079,27.2128608078157,32.80594745322097,0.9798142597422188
1,3.0,0.0,28.08676542217054,0.7956194690265487,6.227831858407079,25.76434359445145,30.40918724988963,0.9798142597422188
2,5.0,0.0,30.475486459473675,0.7956194690265487,6.227831858407079,27.427441298302785,33.52353162064456,0.9798142597422188
3,7.0,0.0,31.911561092785348,0.7956194690265487,6.227831858407079,28.26328136718314,35.559840818387556,0.9798142597422188
4,8.0,0.0,26.515604527204545,0.7956194690265487,6.227831858407079,23.02591368070867,30.00529537370042,0.9798142597422188
5,10.0,0.0,31.978096823239873,0.7956194690265487,6.227831858407079,27.534060507341085,36.422133139138666,0.9798142597422188
6,13.0,0.0,32.30730480002725,0.7956194690265487,6.227831858407079,28.676408251072242,35.938201348982254,0.9798142597422188
7,15.0,0.0,30.594379285941123,0.7956194690265487,6.227831858407079,26.74612702492137,34.442631546960875,0.9798142597422188
8,0.0,2.0,25.847375417438432,0.6896460176991152,6.198141592920354,24.015337166662107,27.679413668214757,1.0487230975370454
9,3.0,2.0,24.889609935990148,0.6896460176991152,6.198141592920354,22.826777639569833,26.952442232410462,1.0487230975370454
10,5.0,2.0,26.38378766962153,0.6896460176991152,6.198141592920354,23.931908180677933,28.835667158565126,1.0487230975370454
11,7.0,2.0,27.56432148642149,0.6896460176991152,6.198141592920354,25.047986533655482,30.0806564391875,1.0487230975370454
12,8.0,2.0,23.210715082074568,0.6896460176991152,6.198141592920354,20.622343173368275,25.79908699078086,1.0487230975370454
13,10.0,2.0,27.7059111769147,0.6896460176991152,6.198141592920354,24.134404204662445,31.277418149166955,1.0487230975370454
14,13.0,2.0,27.801554903159307,0.6896460176991152,6.198141592920354,24.75836288679107,30.844746919527545,1.0487230975370454
15,15.0,2.0,26.5375400632953,0.6896460176991152,6.198141592920354,23.615806707803767,29.459273418786832,1.0487230975370454
16,0.0,5.0,22.018826634318987,0.7282300884955752,6.153716814159291,20.455277885208517,23.582375383429458,0.8789110817191007
17,3.0,5.0,21.494050677992377,0.7282300884955752,6.153716814159291,19.937410239546313,23.05069111643844,0.8789110817191007
18,5.0,5.0,22.6726918865823,0.7282300884955752,6.153716814159291,20.87516972563962,24.47021404752498,0.8789110817191007
19,7.0,5.0,23.71574903869388,0.7282300884955752,6.153716814159291,21.85652292967202,25.574975147715737,0.8789110817191007
20,8.0,5.0,19.928727512065503,0.7282300884955752,6.153716814159291,17.907182549173683,21.950272474957323,0.8789110817191007
21,10.0,5.0,23.544334180824936,0.7282300884955752,6.153716814159291,20.84570866580162,26.242959695848253,0.8789110817191007
22,13.0,5.0,23.800839912959265,0.7282300884955752,6.153716814159291,21.54892839149523,26.0527514344233,0.8789110817191007
23,15.0,5.0,22.68894211998771,0.7282300884955752,6.153716814159291,20.60332907168393,24.774555168291492,0.8789110817191007
24,0.0,10.0,18.072507267978633,0.7593805309734513,6.115663716814159,16.90293725888311,19.242077277074156,0.7339408064044378
25,3.0,10.0,17.88443558089099,0.7593805309734513,6.115663716814159,16.82926434660421,18.939606815177772,0.7339408064044378
26,5.0,10.0,18.56513186785176,0.7593805309734513,6.115663716814159,17.24554291267947,19.884720823024054,0.7339408064044378
27,7.0,10.0,19.48736309689108,0.7593805309734513,6.115663716814159,18.10458302652951,20.87014316725265,0.7339408064044378
28,8.0,10.0,16.365698668972286,0.7593805309734513,6.115663716814159,14.997647214755904,17.733750123188667,0.7339408064044378
29,10.0,10.0,19.250665056077228,0.7593805309734513,6.115663716814159,17.5239442891413,20.977385823013154,0.7339408064044378
30,13.0,10.0,19.286789995717935,0.7593805309734513,6.115663716814159,17.725908054315543,20.847671937120328,0.7339408064044378
31,15.0,10.0,18.483748974572137,0.7593805309734513,6.115663716814159,16.93251760303182,20.034980346112455,0.7339408064044378
32,0.0,20.0,13.802753820946519,0.8078761061946904,6.08566371681416,13.125878426832845,14.479629215060193,0.573370474434996
33,3.0,20.0,13.78895670444583,0.8078761061946904,6.08566371681416,13.07082241985258,14.50709098903908,0.573370474434996
34,5.0,20.0,14.200913564156133,0.8078761061946904,6.08566371681416,13.415111304163135,14.986715824149131,0.573370474434996
35,7.0,20.0,14.759211152744905,0.8078761061946904,6.08566371681416,13.887402221648234,15.631020083841577,0.573370474434996
36,8.0,20.0,12.59251108524068,0.8078761061946904,6.08566371681416,11.79851273820982,13.386509432271541,0.573370474434996
37,10.0,20.0,14.514041440552768,0.8078761061946904,6.08566371681416,13.542738941993584,15.485343939111953,0.573370474434996
38,13.0,20.0,14.617117675553102,0.8078761061946904,6.08566371681416,13.751731422795189,15.482503928311015,0.573370474434996
39,15.0,20.0,13.953383423026871,0.8078761061946904,6.08566371681416,13.062270451834866,14.844496394218876,0.573370474434996
40,0.0,50.0,8.76514743387759,0.8560619469026547,6.0720353982300885,8.490765140698263,9.039529727056918,0.47445070510084
41,3.0,50.0,8.811635870483181,0.8560619469026547,6.0720353982300885,8.507425598954688,9.115846142011675,0.47445070510084
42,5.0,50.0,9.091173177720176,0.8560619469026547,6.0720353982300885,8.771488895042758,9.410857460397594,0.47445070510084
43,7.0,50.0,9.285614386694853,0.8560619469026547,6.0720353982300885,8.938026686886092,9.633202086503614,0.47445070510084
44,8.0,50.0,8.03399444638618,0.8560619469026547,6.0720353982300885,7.673364318096116,8.394624574676243,0.47445070510084
45,10.0,50.0,9.039679251169172,0.8560619469026547,6.0720353982300885,8.603915153151135,9.47544334918721,0.47445070510084
