,SensorID,Target PPM,Resistance,Temperature,RelativeHumidity,lowInterval,highInterval,Ratio
0,0.0,0.0,13.88885430081893,8.422699115044248,14.477743362831859,13.822943511982773,13.954765089655085,0.14298642859774593
1,3.0,0.0,10.76724889582229,8.422699115044248,14.477743362831859,10.725345361533309,10.80915243011127,0.14298642859774593
2,5.0,0.0,14.554318416774263,8.422699115044248,14.477743362831859,14.485848249331369,14.622788584217158,0.14298642859774593
3,7.0,0.0,13.816023878297887,8.422699115044248,14.477743362831859,13.749397867143296,13.882649889452479,0.14298642859774593
4,8.0,0.0,14.857351745576032,8.422699115044248,14.477743362831859,14.760391172306473,14.954312318845592,0.14298642859774593
5,10.0,0.0,13.255723629704548,8.422699115044248,14.477743362831859,13.177132237642962,13.334315021766134,0.14298642859774593
6,13.0,0.0,12.46016581360037,8.422699115044248,14.477743362831859,12.38285150952066,12.537480117680078,0.14298642859774593
7,15.0,0.0,12.144038173621777,8.422699115044248,14.477743362831859,12.073935801863605,12.214140545379948,0.14298642859774593
8,0.0,100.0,7.432123694767833,8.374646017699115,14.640442477876107,7.400725960058367,7.4635214294773,0.2349518067557029
9,3.0,100.0,6.476272332648419,8.374646017699115,14.640442477876107,6.447412174720225,6.505132490576613,0.2349518067557029
10,5.0,100.0,8.261483700862604,8.374646017699115,14.640442477876107,8.222940624140376,8.300026777584831,0.2349518067557029
11,7.0,100.0,8.177419479956063,8.374646017699115,14.640442477876107,8.137493788100997,8.217345171811129,0.2349518067557029
12,8.0,100.0,7.9336213019701525,8.374646017699115,14.640442477876107,7.892106145412444,7.975136458527861,0.2349518067557029
13,10.0,100.0,7.856777772062971,8.374646017699115,14.640442477876107,7.819933248313312,7.89362229581263,0.2349518067557029
14,13.0,100.0,7.501962918260746,8.374646017699115,14.640442477876107,7.462528598075369,7.541397238446124,0.2349518067557029
15,15.0,100.0,7.259929697324039,8.374646017699115,14.640442477876107,7.2234345525832495,7.2964248420648286,0.2349518067557029
16,0.0,200.0,4.833059415045651,8.374070796460177,14.967345132743363,4.818534087560021,4.84758474253128,0.3414434808414816
17,3.0,200.0,4.161739597948779,8.374070796460177,14.967345132743363,4.1497061199391725,4.173773075958386,0.3414434808414816
18,5.0,200.0,5.239493837467644,8.374070796460177,14.967345132743363,5.222751700777999,5.256235974157289,0.3414434808414816
19,7.0,200.0,5.183035316255505,8.374070796460177,14.967345132743363,5.167635310766552,5.198435321744458,0.3414434808414816
20,8.0,200.0,5.082235460237824,8.374070796460177,14.967345132743363,5.063591424296386,5.100879496179261,0.3414434808414816
21,10.0,200.0,5.067807908277061,8.374070796460177,14.967345132743363,5.051113360104734,5.084502456449387,0.3414434808414816
22,13.0,200.0,4.873646630174371,8.374070796460177,14.967345132743363,4.853816492260068,4.893476768088674,0.3414434808414816
23,15.0,200.0,4.636505628153912,8.374070796460177,14.967345132743363,4.619369886099267,4.653641370208557,0.3414434808414816
24,0.0,300.0,3.728135467625427,8.388362831858407,15.430486725663716,3.719781698134954,3.7364892371158995,0.42084695718177645
25,3.0,300.0,3.2247675110170237,8.388362831858407,15.430486725663716,3.217884401765864,3.2316506202681836,0.42084695718177645
26,5.0,300.0,4.034030688877816,8.388362831858407,15.430486725663716,4.023336621277336,4.0447247564782955,0.42084695718177645
27,7.0,300.0,3.964338391032601,8.388362831858407,15.430486725663716,3.95518187397283,3.973494908092372,0.42084695718177645
28,8.0,300.0,3.9124176756036393,8.388362831858407,15.430486725663716,3.900636036732867,3.9241993144744116,0.42084695718177645
29,10.0,300.0,3.9000634596600503,8.388362831858407,15.430486725663716,3.8881690783619947,3.911957840958106,0.42084695718177645
30,13.0,300.0,3.7721677713535495,8.388362831858407,15.430486725663716,3.76008931613272,3.7842462265743793,0.42084695718177645
31,15.0,300.0,3.5585693072253464,8.388362831858407,15.430486725663716,3.5486357797088877,3.568502834741805,0.42084695718177645
32,0.0,400.0,3.222837382016624,8.343539823008848,15.167389380530974,3.2158317263983762,3.2298430376348715,0.47165739557330877
33,3.0,400.0,2.783145540393846,8.343539823008848,15.167389380530974,2.777590398469993,2.7887006823176987,0.47165739557330877
34,5.0,400.0,3.4677800768503175,8.343539823008848,15.167389380530974,3.4609555608125717,3.4746045928880633,0.47165739557330877
35,7.0,400.0,3.3921670191554303,8.343539823008848,15.167389380530974,3.3846427789216236,3.399691259389237,0.47165739557330877
36,8.0,400.0,3.3828470478128607,8.343539823008848,15.167389380530974,3.3733299580569662,3.392364137568755,0.47165739557330877
37,10.0,400.0,3.3633537413419097,8.343539823008848,15.167389380530974,3.3545731418544844,3.372134340829335,0.47165739557330877
38,13.0,400.0,3.264082356542733,8.343539823008848,15.167389380530974,3.254446807141843,3.2737179059436228,0.47165739557330877
39,15.0,400.0,3.0634014188346486,8.343539823008848,15.167389380530974,3.0547981816506233,3.072004656018674,0.47165739557330877
40,0.0,0.0,6.281010306955677,34.87548672566372,45.56424778761062,6.2696920195800505,6.292328594331304,0.322762244892258
41,3.0,0.0,5.025040338861812,34.87548672566372,45.56424778761062,5.018048572548024,5.0320321051756,0.322762244892258
42,5.0,0.0,6.755507411657173,34.87548672566372,45.56424778761062,6.744335182747846,6.7666796405665,0.322762244892258
43,7.0,0.0,7.075741170945049,34.87548672566372,45.56424778761062,7.062018344480952,7.089463997409146,0.322762244892258
44,8.0,0.0,6.6116734390789915,34.87548672566372,45.56424778761062,6.595124727127924,6.628222151030059,0.322762244892258
45,10.0,0.0,6.0592797842424355,34.87548672566372,45.56424778761062,6.045399150915625,6.073160417569246,0.322762244892258
