Target ppm,Target RH (%),Target T (C),Vout0,Vout1,Vout2,Vout3,Vout4,Vout5,Vout6,Vout7,Vout8,Vout9,Vout10,Vout11,Vout12,Vout13,Vout14,Vout15,Vref0,Vref1,Vref2,Vref3,Vref4,Vref5,Vref6,Vref7,Vref8,Vref9,Vref10,Vref11,Vref12,Vref13,Vref14,Vref15,Reactor Temperature(C),SHTTemp(C),Humidity%,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas
0,30,35,0.769919,0.87603,0.919513,0.978248,0.897772,0.775111,0.887388,0.727409,0.760325,0.875904,0.869429,0.902775,0.862954,0.873637,0.971733,0.864249,2.80324,2.898319,2.906107,2.829849,2.843154,2.849644,2.95024,2.840558,2.85887,2.90031,2.880237,2.949844,2.785378,2.85887,2.952434,2.824876,41.93,34.9,30.86,A,11.89,29.38,0,0,0,CH4,B,11.88,28.92,0,0,0,O2,C,12.82,29.8,65.2,56,56,O2,D,12.52,30.23,107.2,89.8,90.5,N2,E,12.58,30.56,0.176,0.148,0.176,N2
0,30,35,0.77576,0.858507,0.920811,0.970784,0.90199,0.767647,0.889659,0.728058,0.799823,0.904394,0.86781,0.896947,0.859393,0.859069,0.952632,0.863601,2.799671,2.895723,2.896048,2.845101,2.854512,2.85581,2.941153,2.826929,2.817753,2.888655,2.887683,2.942074,2.790234,2.862755,2.955024,2.820991,41.93,34.89,30.81,A,11.89,29.39,0,0,0,CH4,B,11.87,28.91,0,0,0,O2,C,12.81,29.79,65.3,56,56,O2,D,12.52,30.23,107.6,90.1,90.5,N2,E,12.58,30.56,0.176,0.148,0.176,N2
0,30,35,0.770568,0.858183,0.921785,0.968513,0.899719,0.778031,0.876679,0.722217,0.76939,0.89112,0.873314,0.905041,0.860688,0.860364,0.97918,0.864573,2.787015,2.879498,2.896697,2.843479,2.854512,2.843803,2.960624,2.819141,2.819696,2.880561,2.891568,2.95988,2.761097,2.842682,2.951786,2.821962,41.91,34.88,30.85,A,11.9,29.38,0,0,0,CH4,B,11.86,28.91,0,0,0,O2,C,12.82,29.78,65.2,56,56,O2,D,12.53,30.23,107.1,89.7,90.5,N2,E,12.58,30.55,0.176,0.148,0.176,N2
0,30,35,0.795879,0.861103,0.916268,0.974678,0.89907,0.772515,0.894202,0.735197,0.771657,0.886911,0.85227,0.913459,0.850651,0.855831,0.977237,0.864573,2.789611,2.882743,2.89475,2.840233,2.849969,2.856459,2.952187,2.824008,2.81225,2.90808,2.865668,2.963765,2.754946,2.8511,2.938189,2.785702,41.94,34.9,30.84,A,11.88,29.38,0,0,0,CH4,B,11.87,28.91,0,0,0,O2,C,12.81,29.79,65.3,56,56,O2,D,12.52,30.22,107.9,90.3,90.5,N2,E,12.59,30.58,0.176,0.148,0.176,N2
0,30,35,0.761806,0.869865,0.901666,0.975652,0.891606,0.772839,0.883169,0.732926,0.768419,0.890472,0.845795,0.913459,0.858745,0.847738,0.970762,0.871371,2.785393,2.886637,2.887286,2.846724,2.86522,2.854512,2.952187,2.842829,2.811602,2.913907,2.904195,2.95729,2.773076,2.854013,2.953729,2.82002,42.01,34.87,30.83,A,11.89,29.38,0,0,0,CH4,B,11.88,28.92,0,0,0,O2,C,12.8,29.79,65.2,55.9,56,O2,D,12.53,30.23,107.8,90.3,90.5,N2,E,12.58,30.56,0.176,0.148,0.176,N2
0,30,35,0.775111,0.862726,0.916593,0.970784,0.897447,0.775111,0.882845,0.730005,0.747699,0.883026,0.873314,0.885616,0.866515,0.879789,0.991482,0.853565,2.798048,2.901889,2.885015,2.825306,2.850942,2.863273,2.952187,2.832445,2.815163,2.920706,2.88477,2.956642,2.775989,2.856603,2.922648,2.849805,41.94,34.91,30.81,A,11.89,29.38,0,0,0,CH4,B,11.88,28.92,0,0,0,O2,C,12.82,29.81,65.1,55.9,56,O2,D,12.53,30.21,107.8,90.3,90.5,N2,E,12.58,30.55,0.176,0.148,0.176,N2
0,30,35,0.787117,0.861103,0.915944,0.964943,0.896474,0.757263,0.87603,0.724813,0.760973,0.886911,0.859716,0.896947,0.86781,0.852918,0.964935,0.850004,2.810704,2.884041,2.881445,2.836015,2.869439,2.857432,2.943425,2.851916,2.859841,2.88736,2.902576,2.966679,2.789263,2.858546,2.954376,2.825847,42.02,34.91,30.82,A,11.89,29.38,0,0,0,CH4,B,11.88,28.91,0,0,0,O2,C,12.81,29.79,65.1,55.9,56,O2,D,12.53,30.21,107.5,90.1,90.5,N2,E,12.59,30.56,0.176,0.148,0.176,N2
0,30,35,0.783872,0.881222,0.913023,0.964619,0.895176,0.774786,0.883818,0.732601,0.767124,0.896624,0.87558,0.913782,0.845148,0.873961,0.97659,0.874609,2.794154,2.890856,2.901889,2.857108,2.859055,2.855161,2.93661,2.832445,2.809012,2.904195,2.885093,2.958261,2.787321,2.844301,2.933656,2.811278,41.96,34.89,30.79,A,11.89,29.38,0,0,0,CH4,B,11.88,28.92,0,0,0,O2,C,12.82,29.8,65.3,56,56,O2,D,12.53,30.21,107.5,90.1,90.5,N2,E,12.58,30.54,0.176,0.148,0.176,N2
0,30,35,0.771541,0.864673,0.904911,0.960725,0.897772,0.767647,0.887712,0.724813,0.770362,0.898566,0.859069,0.91702,0.884969,0.858421,0.970115,0.841263,2.787015,2.893127,2.89475,2.838611,2.861326,2.847048,2.955107,2.8292,2.803508,2.904195,2.891892,2.963117,2.767248,2.84851,2.972506,2.808041,41.96,34.9,30.83,A,11.89,29.38,0,0,0,CH4,B,11.87,28.91,0,0,0,O2,C,12.82,29.81,65.3,56,56,O2,D,12.53,30.21,107.4,90,90.5,N2,E,12.58,30.56,0.175,0.148,0.176,N2
0,30,35,0.781601,0.855262,0.91497,0.962672,0.900368,0.77219,0.872136,0.733575,0.756441,0.892739,0.86522,0.919286,0.869105,0.879789,0.970115,0.850975,2.78734,2.886313,2.896048,2.836015,2.837313,2.847697,2.953809,2.834717,2.816458,2.895777,2.904842,2.955671,2.781169,2.825523,2.969592,2.822286,41.98,34.9,30.82,A,11.89,29.37,0,0,0,CH4,B,11.86,28.91,0,0,0,O2,C,12.81,29.82,65.1,55.8,56,O2,D,12.53,30.21,107.8,90.3,90.5,N2,E,12.58,30.55,0.176,0.148,0.176,N2
