Target ppm,Target RH (%),Target T (C),Vout0,Vout1,Vout2,Vout3,Vout4,Vout5,Vout6,Vout7,Vout8,Vout9,Vout10,Vout11,Vout12,Vout13,Vout14,Vout15,Vref0,Vref1,Vref2,Vref3,Vref4,Vref5,Vref6,Vref7,Vref8,Vref9,Vref10,Vref11,Vref12,Vref13,Vref14,Vref15,Reactor Temperature(C),SHTTemp(C),Humidity%,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas
0,45,35,0.86662,0.939632,0.99285,1.037631,0.96689,0.82411,0.973705,0.760184,0.843853,0.947128,0.915725,0.947128,0.932883,0.919934,1.05526,0.914106,2.808757,2.88177,2.907081,2.83569,2.838286,2.851916,2.946995,2.820439,2.825523,2.9029,2.921353,2.964089,2.774371,2.842682,2.94175,2.816458,41.76,34.94,45.16,A,11.89,29.2,0,0,0,CH4,B,11.89,28.96,0,0,0,O2,C,12.86,29.47,64.9,56,56,O2,D,12.69,29.99,185.3,157.4,158,N2,E,12.62,30.42,0.083,0.07,0.083,N2
0,45,35,0.855587,0.925679,0.986036,1.037956,0.978572,0.819892,0.962023,0.769919,0.837054,0.949395,0.91961,0.974647,0.940006,0.947776,1.037454,0.909574,2.78377,2.883717,2.879823,2.85581,2.859055,2.847697,2.942776,2.834068,2.820343,2.881208,2.911641,2.945959,2.778256,2.861783,2.95211,2.818725,41.8,34.95,45.16,A,11.88,29.22,0,0,0,CH4,B,11.88,28.96,0,0,0,O2,C,12.86,29.48,64.9,56,56,O2,D,12.69,29.99,185.3,157.3,158,N2,E,12.64,30.44,0.084,0.071,0.083,N2
0,45,35,0.845852,0.927301,0.980844,1.039903,0.972082,0.829951,0.943526,0.782899,0.841586,0.955222,0.927056,0.968496,0.936445,0.931265,1.054289,0.922524,2.785068,2.879823,2.882094,2.844777,2.844777,2.871386,2.955107,2.837313,2.837178,2.897072,2.903547,2.949196,2.772104,2.850128,2.953729,2.824228,41.84,34.91,45.16,A,11.88,29.21,0,0,0,CH4,B,11.89,28.97,0,0,0,O2,C,12.85,29.47,65,56,56,O2,D,12.69,29.98,185.7,157.7,158,N2,E,12.64,30.43,0.084,0.071,0.083,N2
0,45,35,0.853315,0.93444,0.973705,1.049313,0.973056,0.821839,0.955208,0.781276,0.843529,0.957165,0.927703,0.978532,0.943567,0.932883,1.046196,0.93256,2.776956,2.864571,2.898319,2.830823,2.871061,2.864571,2.924279,2.832121,2.818725,2.909051,2.899986,2.948549,2.774047,2.88477,2.950815,2.829085,41.75,34.93,45.14,A,11.88,29.2,0,0,0,CH4,B,11.89,28.97,0,0,0,O2,C,12.85,29.47,64.9,55.9,56,O2,D,12.69,29.98,185.7,157.8,158,N2,E,12.63,30.44,0.084,0.071,0.083,N2
0,45,35,0.849746,0.913997,0.991552,1.029843,0.971109,0.821514,0.965268,0.779329,0.823133,0.974323,0.935797,0.975295,0.94292,0.941301,1.034217,0.926408,2.788313,2.88469,2.921683,2.841207,2.86522,2.851916,2.947644,2.866843,2.808041,2.88477,2.903223,2.955347,2.766277,2.846567,2.944987,2.811602,41.8,34.92,45.16,A,11.88,29.22,0,0,0,CH4,B,11.89,28.96,0,0,0,O2,C,12.85,29.47,64.8,55.8,56,O2,D,12.69,29.98,185.3,157.4,158,N2,E,12.63,30.44,0.084,0.071,0.083,N2
0,45,35,0.851044,0.939632,0.981817,1.027896,0.972407,0.820541,0.951963,0.771217,0.83155,0.972057,0.918639,0.969467,0.946805,0.915077,1.046196,0.915401,2.800969,2.896697,2.884366,2.831796,2.867816,2.846724,2.962571,2.81622,2.800594,2.904842,2.894806,2.94434,2.768543,2.856927,2.947254,2.815487,41.82,34.94,45.17,A,11.89,29.21,0,0,0,CH4,B,11.89,28.96,0,0,0,O2,C,12.86,29.47,64.9,56,56,O2,D,12.69,29.98,185.5,157.6,158,N2,E,12.62,30.43,0.084,0.07,0.083,N2
0,45,35,0.852017,0.941904,0.980844,1.036333,0.972082,0.821514,0.962347,0.770892,0.826046,0.956193,0.928675,0.955222,0.957812,0.930941,1.061088,0.91443,2.824008,2.883392,2.909352,2.824982,2.844777,2.85581,2.959326,2.836015,2.819372,2.88218,2.888978,2.960204,2.781817,2.872143,2.950815,2.839445,41.82,34.93,45.13,A,11.88,29.23,0,0,0,CH4,B,11.89,28.96,0,0,0,O2,C,12.86,29.48,64.9,56,56,O2,D,12.69,29.98,185.3,157.4,158,N2,E,12.63,30.44,0.084,0.071,0.083,N2
0,45,35,0.85364,0.939308,0.975003,1.034711,0.966241,0.825084,0.949367,0.78517,0.827665,0.939035,0.933531,0.977237,0.924466,0.9481,1.059145,0.92997,2.797075,2.898968,2.886962,2.846399,2.853538,2.847697,2.952187,2.822061,2.820991,2.894158,2.905813,2.947254,2.787968,2.841063,2.935599,2.828761,41.8,34.94,45.15,A,11.89,29.23,0,0,0,CH4,B,11.89,28.97,0,0,0,O2,C,12.86,29.47,65,56,56,O2,D,12.7,30,185.6,157.8,158,N2,E,12.63,30.44,0.084,0.071,0.083,N2
0,45,35,0.863375,0.948394,0.975327,1.018161,0.984738,0.815349,0.967539,0.779978,0.8445,0.983065,0.919286,0.980475,0.983388,0.923495,1.035836,0.925437,2.801942,2.899293,2.879498,2.828551,2.851267,2.852565,2.925253,2.838935,2.822286,2.903547,2.873762,2.963441,2.798976,2.875381,2.93657,2.825847,41.76,34.94,45.15,A,11.89,29.21,0,0,0,CH4,B,11.89,28.95,0,0,0,O2,C,12.86,29.48,65.1,56.1,56,O2,D,12.69,30,185.7,157.8,158,N2,E,12.64,30.44,0.083,0.07,0.083,N2
0,45,35,0.848123,0.915619,0.974354,1.034711,0.982791,0.811455,0.950341,0.796528,0.841586,0.967525,0.936121,0.980798,0.95328,0.920905,1.027418,0.918315,2.783121,2.911299,2.879498,2.836988,2.854187,2.834068,2.943425,2.843479,2.832646,2.88995,2.909698,2.956966,2.809336,2.846243,2.969269,2.829408,41.71,34.92,45.14,A,11.88,29.22,0,0,0,CH4,B,11.89,28.97,0,0,0,O2,C,12.86,29.48,65,56,56,O2,D,12.71,30.01,186.5,158.6,158,N2,E,12.62,30.44,0.083,0.07,0.083,N2
