Target ppm,Target RH (%),Target T (C),Vout0,Vout1,Vout2,Vout3,Vout4,Vout5,Vout6,Vout7,Vout8,Vout9,Vout10,Vout11,Vout12,Vout13,Vout14,Vout15,Vref0,Vref1,Vref2,Vref3,Vref4,Vref5,Vref6,Vref7,Vref8,Vref9,Vref10,Vref11,Vref12,Vref13,Vref14,Vref15,Reactor Temperature(C),SHTTemp(C),Humidity%,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas
0,15,9,0.329247,0.371757,0.416862,0.436008,0.390578,0.364942,0.392525,0.362346,0.331035,0.423951,0.377979,0.3919,0.387367,0.3919,0.434311,0.38413,2.349912,2.489448,2.477765,2.407024,2.481984,2.508918,2.618599,2.491719,2.466484,2.523788,2.539652,2.601488,2.376158,2.429253,2.524112,2.386194,17.11,8.47,14.74,A,12.11,30.02,0.2,0.2,0,CH4,B,12.08,31.48,62.72,50.45,50.5,O2,C,12.47,29.63,0.1,0.1,0,O2,D,12.26,31.12,14.5,11.9,11.8,N2,E,12.9,30.83,0.229,0.198,0.229,N2
0,15,9,0.335737,0.391551,0.413617,0.410372,0.425948,0.353909,0.382141,0.34677,0.329416,0.411972,0.382835,0.389634,0.394166,0.387367,0.445318,0.380245,2.364839,2.452454,2.483607,2.398263,2.493666,2.49756,2.634824,2.487176,2.428282,2.545803,2.585948,2.616057,2.368064,2.430872,2.526378,2.40918,17.11,8.47,14.7,A,12.1,30.02,-0.1,-0.1,0,CH4,B,12.08,31.47,62.55,50.33,50.5,O2,C,12.47,29.62,0.1,0.1,0,O2,D,12.26,31.12,14.5,11.9,11.8,N2,E,12.89,30.84,0.23,0.198,0.229,N2
0,15,9,0.342876,0.3922,0.414915,0.440875,0.388631,0.358777,0.400962,0.35034,0.33233,0.42557,0.359525,0.398051,0.395137,0.404202,0.445966,0.401289,2.360296,2.470302,2.45505,2.402806,2.497236,2.497236,2.622493,2.473871,2.470693,2.552925,2.57753,2.61379,2.358028,2.430872,2.509219,2.368064,17.02,8.47,14.74,A,12.1,30.02,0,0,0,CH4,B,12.09,31.5,62.87,50.64,50.5,O2,C,12.48,29.63,0.1,0.1,0,O2,D,12.25,31.12,14.4,11.7,11.8,N2,E,12.9,30.84,0.23,0.198,0.229,N2
0,15,9,0.350664,0.399339,0.395445,0.428869,0.378247,0.358128,0.381816,0.352611,0.345928,0.429455,0.405174,0.38154,0.407116,0.393842,0.428807,0.398051,2.351859,2.449858,2.474196,2.421302,2.513785,2.491395,2.635798,2.51703,2.446735,2.572674,2.567494,2.640985,2.320797,2.450297,2.530263,2.38328,17.05,8.47,14.7,A,12.12,30.02,0.2,0.1,0,CH4,B,12.09,31.5,62.8,50.56,50.5,O2,C,12.48,29.63,0.1,0.1,0,O2,D,12.26,31.12,14.3,11.7,11.8,N2,E,12.89,30.83,0.229,0.197,0.229,N2
0,15,9,0.349366,0.402909,0.394147,0.427895,0.413942,0.376949,0.401286,0.381816,0.336539,0.393519,0.397727,0.386072,0.398375,0.39708,0.424275,0.373122,2.346992,2.445964,2.47809,2.403779,2.483282,2.509242,2.626387,2.461865,2.45321,2.545803,2.58271,2.622208,2.343459,2.429253,2.519903,2.415979,17.1,8.48,14.78,A,12.09,30.01,-0.2,-0.2,0,CH4,B,12.09,31.49,62.64,50.43,50.5,O2,C,12.48,29.63,0.1,0.1,0,O2,D,12.25,31.12,14.4,11.8,11.8,N2,E,12.9,30.83,0.229,0.197,0.229,N2
0,15,9,0.348068,0.381816,0.402584,0.441849,0.416862,0.347744,0.40518,0.374677,0.343985,0.399994,0.399022,0.416181,0.38672,0.38413,0.430102,0.390605,2.374899,2.476143,2.481984,2.432335,2.504375,2.501454,2.615354,2.467381,2.465513,2.555192,2.526702,2.618647,2.338279,2.395907,2.522169,2.384252,17.06,8.48,14.74,A,12.11,30.01,0,0,0,CH4,B,12.09,31.49,62.61,50.4,50.5,O2,C,12.48,29.63,0.1,0.1,0,O2,D,12.26,31.12,14.5,11.8,11.8,N2,E,12.91,30.83,0.23,0.198,0.229,N2
0,15,9,0.338333,0.399339,0.394147,0.443147,0.399988,0.33736,0.381167,0.3763,0.355964,0.411001,0.388339,0.389957,0.398051,0.39449,0.4178,0.400317,2.350886,2.458295,2.470626,2.421302,2.505997,2.508269,2.617301,2.470302,2.448678,2.555192,2.569113,2.636453,2.347668,2.399792,2.512133,2.404972,17.08,8.48,14.74,A,12.1,30.02,0.1,0.1,0,CH4,B,12.09,31.5,62.95,50.68,50.5,O2,C,12.48,29.63,0.1,0.1,0,O2,D,12.26,31.12,14.2,11.6,11.8,N2,E,12.9,30.82,0.229,0.197,0.229,N2
0,15,9,0.347095,0.392849,0.401286,0.433736,0.415564,0.360399,0.381167,0.385386,0.341719,0.38931,0.388662,0.39967,0.375065,0.39967,0.43593,0.389957,2.36776,2.484256,2.482633,2.402157,2.493991,2.493666,2.605943,2.496911,2.467779,2.568789,2.552925,2.658468,2.329538,2.41695,2.528644,2.39105,17.02,8.49,14.75,A,12.11,30,-0.1,-0.1,0,CH4,B,12.09,31.5,62.78,50.54,50.5,O2,C,12.47,29.63,0.1,0.1,0,O2,D,12.26,31.12,14.3,11.7,11.8,N2,E,12.9,30.82,0.229,0.197,0.229,N2
0,15,9,0.353909,0.374353,0.423352,0.441849,0.391227,0.355856,0.394796,0.362671,0.359849,0.400317,0.37636,0.389957,0.395461,0.393519,0.434311,0.381864,2.381064,2.445964,2.477441,2.428117,2.515732,2.508918,2.589718,2.50113,2.442203,2.547745,2.565875,2.636777,2.353172,2.463894,2.512133,2.406914,17,8.47,14.76,A,12.11,30.01,0,0,0,CH4,B,12.09,31.5,62.57,50.37,50.5,O2,C,12.48,29.63,0.1,0.1,0,O2,D,12.26,31.12,14.2,11.6,11.8,N2,E,12.89,30.81,0.229,0.197,0.229,N2
0,15,9,0.338658,0.374353,0.411995,0.439253,0.391876,0.384088,0.385061,0.376624,0.325208,0.422008,0.40744,0.403879,0.372475,0.404202,0.422656,0.411648,2.356727,2.441421,2.452454,2.412865,2.486527,2.512487,2.635149,2.487501,2.424073,2.55422,2.599545,2.607315,2.354143,2.439289,2.51019,2.388784,17.04,8.47,14.75,A,12.1,30.02,0.1,0.1,0,CH4,B,12.1,31.51,62.71,50.53,50.5,O2,C,12.47,29.63,0.1,0.1,0,O2,D,12.25,31.12,14.1,11.5,11.8,N2,E,12.89,30.82,0.229,0.197,0.229,N2
