Target ppm,Target RH (%),Target T (C),Vout0,Vout1,Vout2,Vout3,Vout4,Vout5,Vout6,Vout7,Vout8,Vout9,Vout10,Vout11,Vout12,Vout13,Vout14,Vout15,Vref0,Vref1,Vref2,Vref3,Vref4,Vref5,Vref6,Vref7,Vref8,Vref9,Vref10,Vref11,Vref12,Vref13,Vref14,Vref15,Reactor Temperature(C),SHTTemp(C),Humidity%,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas
0,45,9,0.439253,0.516159,0.497663,0.554126,0.507722,0.440551,0.494418,0.438279,0.434311,0.518162,0.510068,0.485139,0.502622,0.495823,0.520752,0.482873,2.392746,2.498534,2.519626,2.451481,2.481984,2.493017,2.618924,2.51054,2.451592,2.56976,2.572674,2.629654,2.397849,2.452239,2.557782,2.429577,20.45,8.86,44.91,A,12.04,31.73,0,0,0,CH4,B,12.03,31.03,0,0,0,O2,C,13.01,32.13,57.8,50,50,O2,D,12.12,31.7,0.2,0.1,0,N2,E,12.89,31.94,0.252,0.216,0.252,N2
0,45,9,0.434385,0.504153,0.511616,0.537576,0.504802,0.42173,0.474948,0.444769,0.431073,0.534025,0.50683,0.494528,0.513953,0.497442,0.548918,0.492586,2.382687,2.489123,2.516381,2.459269,2.513785,2.481984,2.632877,2.497885,2.45062,2.535119,2.565875,2.631273,2.349934,2.470369,2.56199,2.443174,20.45,8.88,44.88,A,12.04,31.71,0,0,0,CH4,B,12.03,31.02,0,0,0,O2,C,12.99,32.13,57.9,50,50,O2,D,12.13,31.71,0.2,0.1,0,N2,E,12.9,31.92,0.251,0.215,0.252,N2
0,45,9,0.438928,0.493769,0.503179,0.540172,0.519404,0.425624,0.491173,0.441849,0.435282,0.524313,0.50683,0.497442,0.50942,0.484168,0.549889,0.476074,2.369058,2.475169,2.507295,2.459918,2.496587,2.503726,2.627036,2.492044,2.467132,2.544832,2.562314,2.618323,2.369359,2.457419,2.573322,2.439289,20.45,8.87,44.86,A,12.04,31.71,0,0,0,CH4,B,12.02,31.03,0,0,0,O2,C,13.01,32.13,58,50.1,50,O2,D,12.13,31.7,0.1,0.1,0,N2,E,12.91,31.9,0.252,0.217,0.252,N2
0,45,9,0.420432,0.505451,0.514212,0.553477,0.513239,0.436008,0.48663,0.455802,0.439491,0.521723,0.508125,0.483197,0.510715,0.490319,0.554421,0.484168,2.383336,2.470302,2.500805,2.448885,2.500481,2.499832,2.615354,2.50405,2.463894,2.558429,2.567494,2.6112,2.362884,2.460333,2.569437,2.444793,20.45,8.88,44.87,A,12.04,31.73,0,0,0,CH4,B,12.01,31.02,0,0,0,O2,C,13.01,32.13,57.9,50.1,50,O2,D,12.13,31.7,0.3,0.2,0,N2,E,12.9,31.91,0.252,0.216,0.252,N2
0,45,9,0.425948,0.514212,0.499285,0.546338,0.516484,0.43763,0.494418,0.450286,0.444347,0.523342,0.507802,0.497118,0.496794,0.482549,0.521723,0.487406,2.380091,2.50405,2.507295,2.447262,2.501454,2.502752,2.620222,2.472249,2.456772,2.55681,2.56976,2.622208,2.363532,2.460009,2.569437,2.425368,20.52,8.89,44.85,A,12.03,31.73,0,0,0,CH4,B,12.03,31.03,0,0,0,O2,C,13.01,32.13,57.7,49.9,50,O2,D,12.13,31.7,0.2,0.1,0,N2,E,12.91,31.92,0.252,0.217,0.252,N2
0,45,9,0.431465,0.493444,0.502855,0.556073,0.535305,0.438928,0.471703,0.445743,0.450498,0.536292,0.498089,0.502945,0.508449,0.490319,0.553774,0.487082,2.388203,2.50762,2.506322,2.460242,2.487501,2.510865,2.61795,2.523196,2.439613,2.556487,2.570732,2.640338,2.371949,2.457095,2.571055,2.444469,20.4,8.87,44.83,A,12.04,31.73,0,0,0,CH4,B,12.03,31.03,0,0,0,O2,C,13.01,32.13,57.8,49.9,50,O2,D,12.12,31.69,0.2,0.1,0,N2,E,12.91,31.91,0.253,0.217,0.252,N2
0,45,9,0.433736,0.497987,0.504477,0.550556,0.522325,0.432763,0.486954,0.447365,0.43075,0.529169,0.531435,0.508125,0.506183,0.496794,0.545357,0.476074,2.378468,2.507295,2.518653,2.444342,2.497236,2.505348,2.633526,2.502428,2.459685,2.550983,2.577207,2.643252,2.386518,2.464218,2.55163,2.456124,20.51,8.87,44.85,A,12.03,31.73,0,0,0,CH4,B,12.03,31.02,0,0,0,O2,C,13,32.13,57.6,49.8,50,O2,D,12.13,31.69,0.2,0.2,0,N2,E,12.91,31.9,0.253,0.217,0.252,N2
0,45,9,0.442822,0.504153,0.5061,0.554775,0.492146,0.431789,0.488901,0.440226,0.443052,0.512982,0.51201,0.494852,0.528198,0.491614,0.55604,0.484816,2.386256,2.49756,2.498858,2.450183,2.499507,2.506646,2.626063,2.505024,2.46098,2.559077,2.580768,2.625769,2.380367,2.44803,2.57753,2.450297,20.51,8.87,44.85,A,12.04,31.73,0,0,0,CH4,B,12.03,31.03,0,0,0,O2,C,13,32.13,57.9,50.1,50,O2,D,12.12,31.7,0.2,0.1,0,N2,E,12.9,31.91,0.252,0.217,0.252,N2
0,45,9,0.425948,0.501881,0.497014,0.554126,0.504477,0.42173,0.48955,0.43763,0.436901,0.53532,0.511363,0.495499,0.494204,0.491938,0.536615,0.472189,2.38366,2.497236,2.51411,2.433633,2.484256,2.500805,2.601725,2.50762,2.462275,2.560372,2.566847,2.627712,2.345402,2.471664,2.558429,2.439937,20.45,8.87,44.86,A,12.04,31.73,0,0,0,CH4,B,12.03,31.02,0,0,0,O2,C,13.01,32.13,57.7,49.9,50,O2,D,12.13,31.7,0.2,0.1,0,N2,E,12.9,31.9,0.253,0.217,0.252,N2
0,45,9,0.433412,0.479491,0.501557,0.537576,0.513888,0.439253,0.484034,0.442173,0.442081,0.524637,0.510715,0.519457,0.511687,0.50165,0.538882,0.483521,2.392746,2.490097,2.506322,2.463812,2.49756,2.501454,2.62444,2.509567,2.467132,2.542242,2.560695,2.627064,2.379072,2.457743,2.576559,2.43767,20.34,8.87,44.84,A,12.05,31.73,0,0,0,CH4,B,12.02,31.03,0,0,0,O2,C,13,32.13,57.9,50,50,O2,D,12.13,31.7,0.2,0.1,0,N2,E,12.92,31.93,0.252,0.217,0.252,N2
