Target ppm,Target RH (%),Target T (C),Vout0,Vout1,Vout2,Vout3,Vout4,Vout5,Vout6,Vout7,Vout8,Vout9,Vout10,Vout11,Vout12,Vout13,Vout14,Vout15,Vref0,Vref1,Vref2,Vref3,Vref4,Vref5,Vref6,Vref7,Vref8,Vref9,Vref10,Vref11,Vref12,Vref13,Vref14,Vref15,Reactor Temperature(C),SHTTemp(C),Humidity%,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas,ID,PSIA,Deg(c),Volume,Mass,Set Point,Gas
0,30,20,0.543417,0.626165,0.618377,0.675813,0.615456,0.552503,0.580735,0.529139,0.53532,0.62856,0.602336,0.602336,0.59748,0.5923,0.677122,0.610106,2.578036,2.694208,2.682201,2.648129,2.654943,2.657539,2.750347,2.644559,2.622208,2.696023,2.709297,2.780198,2.557782,2.630625,2.740377,2.614114,28.14,20.28,29.58,A,12.09,28.63,0,0,0,CH4,B,12.03,28.59,0,0,0,O2,C,12.89,29.45,64.6,55.8,56,O2,D,12.35,30.58,12.1,10,10,N2,E,12.84,30.02,0.22,0.189,0.22,N2
0,30,20,0.543417,0.612211,0.61935,0.670297,0.606046,0.531411,0.59339,0.534007,0.544062,0.617876,0.602012,0.622409,0.614962,0.58712,0.66223,0.590034,2.54656,2.693234,2.707512,2.644884,2.659486,2.664678,2.766572,2.627036,2.624798,2.701203,2.708326,2.776637,2.555515,2.655554,2.776313,2.641309,28.11,20.29,29.56,A,12.08,28.66,0,0,0,CH4,B,12.04,28.63,0,0,0,O2,C,12.88,29.44,64.7,55.9,56,O2,D,12.35,30.58,12.1,10,10,N2,E,12.84,30.03,0.22,0.189,0.22,N2
0,30,20,0.542768,0.607344,0.618377,0.663807,0.620648,0.53206,0.587874,0.52849,0.533378,0.629531,0.607516,0.617876,0.613667,0.607192,0.664496,0.588091,2.574467,2.691287,2.690314,2.646506,2.65689,2.668897,2.771115,2.638069,2.610229,2.703793,2.711563,2.778579,2.573645,2.648108,2.755593,2.62156,28.18,20.3,29.55,A,12.08,28.66,0,0,0,CH4,B,12.03,28.63,0,0,0,O2,C,12.89,29.44,64.9,56.1,56,O2,D,12.34,30.59,12.1,10,10,N2,E,12.84,30.03,0.22,0.189,0.22,N2
0,30,20,0.549583,0.598907,0.623244,0.664456,0.617403,0.528815,0.603125,0.524921,0.533378,0.631797,0.600717,0.616257,0.611725,0.597804,0.661258,0.604602,2.570573,2.699075,2.691287,2.646182,2.665652,2.654619,2.772088,2.64391,2.623827,2.700232,2.711563,2.776637,2.549364,2.652641,2.740053,2.618323,28.23,20.28,29.52,A,12.09,28.63,0,0,0,CH4,B,12.02,28.63,0,0,0,O2,C,12.89,29.44,64.7,55.9,56,O2,D,12.33,30.57,12.1,10,10,N2,E,12.83,30.03,0.219,0.188,0.22,N2
0,30,20,0.544715,0.626165,0.617403,0.660237,0.626489,0.533033,0.611238,0.524921,0.530788,0.622409,0.596185,0.613344,0.614639,0.602336,0.665467,0.599423,2.570573,2.684473,2.703618,2.6345,2.665327,2.652347,2.769492,2.643586,2.610229,2.717391,2.721599,2.786997,2.540299,2.655231,2.741996,2.619618,28.16,20.29,29.55,A,12.09,28.63,0,0,0,CH4,B,12.02,28.63,0,0,0,O2,C,12.88,29.43,64.6,55.8,56,O2,D,12.34,30.57,12.1,9.9,10,N2,E,12.84,30.03,0.22,0.189,0.22,N2
0,30,20,0.552179,0.592092,0.634926,0.679383,0.622271,0.529788,0.589821,0.533033,0.541472,0.622732,0.613991,0.607516,0.621114,0.599746,0.656726,0.588739,2.554348,2.669546,2.687393,2.632228,2.651374,2.660135,2.759757,2.645857,2.602783,2.697966,2.711563,2.788939,2.557458,2.648432,2.743614,2.602135,28.25,20.3,29.51,A,12.09,28.63,0,0,0,CH4,B,12.02,28.63,0,0,0,O2,C,12.89,29.45,64.7,55.9,56,O2,D,12.34,30.59,12.1,10,10,N2,E,12.84,30.03,0.22,0.189,0.22,N2
0,30,20,0.53855,0.613509,0.624218,0.664456,0.626165,0.532384,0.587874,0.550881,0.536939,0.632121,0.603631,0.635035,0.628884,0.619171,0.659316,0.614315,2.564407,2.71238,2.70589,2.636447,2.656566,2.667599,2.760082,2.663705,2.61897,2.710592,2.714153,2.784407,2.539975,2.652317,2.728398,2.624798,28.23,20.3,29.51,A,12.08,28.63,0,0,0,CH4,B,12.04,28.63,0,0,0,O2,C,12.89,29.45,64.7,55.9,56,O2,D,12.33,30.58,12.1,9.9,10,N2,E,12.84,30.03,0.22,0.189,0.22,N2
0,30,20,0.537252,0.611562,0.619026,0.664456,0.61935,0.536603,0.597284,0.524921,0.533702,0.617552,0.613667,0.614639,0.613667,0.593919,0.667086,0.57935,2.574791,2.687718,2.704267,2.63742,2.648129,2.661433,2.768194,2.646182,2.619618,2.714153,2.720628,2.784083,2.567494,2.653612,2.759802,2.62933,28.23,20.28,29.54,A,12.08,28.65,0,0,0,CH4,B,12.03,28.63,0,0,0,O2,C,12.89,29.42,64.8,56,56,O2,D,12.34,30.59,12.1,10,10,N2,E,12.83,30.03,0.22,0.189,0.22,N2
0,30,20,0.53855,0.601827,0.620973,0.656668,0.618052,0.525894,0.588198,0.525894,0.528198,0.616581,0.609135,0.62079,0.612372,0.574494,0.653488,0.595214,2.583877,2.668572,2.697453,2.6345,2.655917,2.659162,2.774684,2.646182,2.620589,2.691491,2.701203,2.780846,2.56717,2.653936,2.757859,2.61897,28.2,20.28,29.6,A,12.09,28.64,0,0,0,CH4,B,12.02,28.63,0,0,0,O2,C,12.89,29.44,64.7,55.9,56,O2,D,12.33,30.58,12,9.8,10,N2,E,12.84,30.01,0.219,0.188,0.22,N2
0,30,20,0.558669,0.591119,0.631357,0.680032,0.607993,0.529139,0.575867,0.534656,0.539853,0.620466,0.61561,0.596509,0.624351,0.60525,0.669028,0.587444,2.582579,2.675062,2.711731,2.640341,2.661433,2.653321,2.765923,2.644559,2.630625,2.690196,2.722247,2.807069,2.558105,2.656526,2.743938,2.637424,28.16,20.29,29.57,A,12.09,28.63,0,0,0,CH4,B,12.04,28.63,0,0,0,O2,C,12.89,29.43,64.8,56,56,O2,D,12.34,30.58,12.1,10,10,N2,E,12.84,30.02,0.221,0.19,0.22,N2
