Target PPM,Resistance
1000.0,1.4110260815741398
1000.0,1.4331578799298583
1000.0,1.4985133206001453
1000.0,1.5188230711860735
1000.0,1.529886066112706
1000.0,1.5364314668177539
800.0,1.5582476845340225
1000.0,1.574838115575818
800.0,1.5820360241441986
1000.0,1.5845047156528604
1000.0,1.603516716274587
1000.0,1.6123488361226697
1000.0,1.6153710204912828
1000.0,1.6340384296054182
800.0,1.6508829800671125
1000.0,1.6512400508248357
800.0,1.672118093980835
800.0,1.6877230963873886
800.0,1.6951998222917926
1000.0,1.699185439589243
800.0,1.7377099915177519
800.0,1.7487963867664167
800.0,1.7661397401429717
600.0,1.7661670957341793
800.0,1.7798716087541202
800.0,1.7817972076325193
1000.0,1.78603263283402
600.0,1.7953024722156283
800.0,1.8065164980483306
800.0,1.821929968814074
1000.0,1.848031142642945
600.0,1.8630097007757405
800.0,1.86888904381962
600.0,1.8954569544132
600.0,1.9185655055465618
600.0,1.9204650414843647
800.0,1.9667441328315045
600.0,1.972446501899372
600.0,1.9794234251970593
600.0,2.0007555182553762
600.0,2.0242964003618007
600.0,2.0268692395553507
800.0,2.04084977620943
600.0,2.051322183259975
600.0,2.0675023443277403
600.0,2.118613240017822
600.0,2.2317709614164642
600.0,2.314384566048203
100.0,3.4888944167169265
100.0,3.745953349830355
100.0,3.7471243609613833
100.0,3.759374810812634
100.0,3.7978843149209274
100.0,3.857842075051015
100.0,3.9898182949246106
100.0,4.00111593080927
100.0,4.053148220321212
100.0,4.057613120817766
100.0,4.0843648105529775
100.0,4.109699762690357
100.0,4.115229563438948
100.0,4.254460433375317
100.0,4.27479390146923
50.0,4.293242562197144
100.0,4.350097123781464
50.0,4.613363713856766
50.0,4.646692716106015
50.0,4.671989840357909
50.0,4.688112138870426
50.0,4.772138371761127
50.0,4.936317078951866
50.0,5.029500960798875
50.0,5.032798954681048
50.0,5.046900073158128
50.0,5.051994285007659
50.0,5.069993047291355
50.0,5.150941685183997
50.0,5.350387446297901
50.0,5.44386845332382
50.0,5.478071472372379
0.0,5.724349621731647
0.0,6.184055463196067
0.0,6.28001525291155
0.0,6.341909213310512
0.0,6.347936266882979
0.0,6.45001574326121
0.0,6.578405786611679
0.0,6.878101693746447
0.0,6.878499990971326
0.0,6.880824051986921
0.0,6.8866421134945
0.0,7.050608904503674
0.0,7.388081894452583
0.0,7.603064192497828
0.0,7.6459997152998405
0.0,8.051090337480431
